LatinName,PolishName,Description,Edibility,Toxicity,Habitat
Conocybe,Stożkówka,"Rodzaj małych, delikatnych grzybów o stożkowatych kapeluszach. Rosną na ziemi i odchodach. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Niektóre trujące,"Mieszany
"
Coprinellus,Czernidłak,Rodzaj grzybów o delikatnych owocnikach rozpadających się w czarną ciecz. Rosną na ziemi i martwym drewnie. Owocniki pojawiają się od wiosny do jesieni,"Niektóre jadalne, inne niejadalne",Nie trujący,"Mieszany
"
Coprinellus disseminatus,Czernidłak gromadny,"Grzyb o małym, szarym kapeluszu rosnący w dużych skupieniach. Rośnie na martwym drewnie. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Nie trujący,"Liściasty
"
Coprinellus flocculosus,Czernidłak kłaczkowaty,Grzyb o szarym kapeluszu pokrytym drobnymi kłaczkami. Rośnie na ziemi i martwym drewnie. Owocniki pojawiają się od wiosny do jesieni,Niejadalny,Nie trujący,"Liściasty
"
Coprinellus micaceus,Czernidłak błyszczący,Grzyb o ochrowym kapeluszu pokrytym błyszczącymi ziarnkami. Rośnie na martwym drewnie. Owocniki pojawiają się od wiosny do jesieni,Jadalny,Nie trujący,"Liściasty
"
Coprinopsis,Czernidłak,Rodzaj grzybów o delikatnych owocnikach rozpadających się w czarną ciecz. Rosną na ziemi i martwym drewnie. Owocniki pojawiają się od wiosny do jesieni,"Niektóre jadalne, inne niejadalne",Nie trujący,"Mieszany
"
Coprinopsis lagopus,Czernidłak zajęczy,"Grzyb o białawym, cylindrycznym kapeluszu pokrytym włoskami. Rośnie na ziemi i martwym drewnie. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Nie trujący,"Mieszany
"
Coprinopsis picacea,Czernidłak sroka,Grzyb o białym kapeluszu z czarnymi łuskami. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Coprinopsis variegata,Czernidłak pstry,Grzyb o białawym kapeluszu z brązowymi łuskami. Rośnie na ziemi i martwym drewnie. Owocniki pojawiają się od wiosny do jesieni,Niejadalny,Nie trujący,"Mieszany
"
Coprinus comatus,Czernidłak kołpakowaty,"Grzyb o białym, cylindrycznym kapeluszu pokrytym łuskami. Rośnie na ziemi w parkach i ogrodach. Owocniki pojawiają się od wiosny do jesieni",Jadalny,Nie trujący,"Liściasty
"
Cortinarius,Zasłonak,Rodzaj grzybów o kapeluszach połączonych z trzonem zasnówką. Rosną w lasach. Owocniki pojawiają się latem i jesienią,"Niektóre jadalne, inne trujące",Niektóre trujące,"Mieszany
"
Cortinarius albofragrans,Zasłonak białopachący,Grzyb o białawym kapeluszu o przyjemnym zapachu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius alboviolaceus,Zasłonak białofioletowy,Grzyb o białawofioletowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Liściasty
"
Cortinarius bolaris,Zasłonak czerwonołuskowaty,Grzyb o brązowym kapeluszu z czerwonymi łuskami. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius callochrous,Zasłonak pięknobarwny,Grzyb o fioletowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius caperatus,Zasłonak gruzełkowaty,Grzyb o żółtawym kapeluszu pokrytym drobnymi łuskami. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Iglasty
"
Cortinarius casimiri,Zasłonak Kazimierza,Grzyb o brązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius cinnamomeus,Zasłonak cynamonowy,Grzyb o cynamonowobrązowym kapeluszu. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cortinarius citrinifolius,Zasłonak cytrynowoblaszkowy,Grzyb o brązowym kapeluszu i cytrynowożółtych blaszkach. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius corrugatus,Zasłonak pomarszczony,"Grzyb o brązowym, pomarszczonym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią",Niejadalny,Nie trujący,"Liściasty
"
Cortinarius cyanites,Zasłonak modrosiny,Grzyb o niebieskim kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius decipiens,Zasłonak zwodniczy,Grzyb o brązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius distans,Zasłonak oddalony,Grzyb o brązowym kapeluszu z szeroko rozstawionymi blaszkami. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius fasciatus,Zasłonak opasany,Grzyb o brązowym kapeluszu z ciemniejszymi paskami. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cortinarius gentilis,Zasłonak delikatny,Grzyb o żółtawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius glaucopus,Zasłonak sine-nogi,Grzyb o brązowym kapeluszu i niebieskawym trzonie. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Iglasty
"
Cortinarius glutinosoarmillatus,Zasłonak lepkopierścieniowy,Grzyb o brązowym kapeluszu z lepkim pierścieniem na trzonie. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cortinarius iodes,Zasłonak fioletowy,Grzyb o fioletowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius limonius,Zasłonak cytrynowy,Grzyb o cytrynowożółtym kapeluszu. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cortinarius malicorius,Zasłonak jabłkowaty,Grzyb o czerwonobrązowym kapeluszu. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cortinarius mucosus,Zasłonak śluzowaty,"Grzyb o brązowym, śluzowatym kapeluszu. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią",Niejadalny,Nie trujący,"Iglasty
"
Cortinarius parkeri,Zasłonak Parkera,Grzyb o brązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius praestans,Zasłonak okazały,"Grzyb o dużym, fioletowawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią",Jadalny,Nie trujący,"Liściasty
"
Cortinarius pseudosalor,Zasłonak fałszywy śluzowaty,"Grzyb o brązowym, śluzowatym kapeluszu. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią",Niejadalny,Nie trujący,"Iglasty
"
Cortinarius purpurascens,Zasłonak purpurowiejący,"Grzyb o fioletowawym kapeluszu, który purpurowieje po uszkodzeniu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią",Niejadalny,Nie trujący,"Liściasty
"
Cortinarius regalis,Zasłonak królewski,"Grzyb o dużym, fioletowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią",Niejadalny,Nie trujący,"Liściasty
"
Cortinarius rubicundulus,Zasłonak czerwonawy,Grzyb o czerwonawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius rufo-olivaceus,Zasłonak rdzawooliwkowy,Grzyb o oliwkowobrązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius seidliae,Zasłonak Seidla,Grzyb o brązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius semisanguineus,Zasłonak czerwonoblaszkowy,Grzyb o brązowym kapeluszu i czerwonych blaszkach. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cortinarius sertipes,Zasłonak wieńconogi,Grzyb o brązowym kapeluszu i trzonie z wyraźnym pierścieniem. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius smithii,Zasłonak Smitha,Grzyb o brązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius subtortus,Zasłonak skręcony,"Grzyb o brązowym, skręconym kapeluszu. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią",Niejadalny,Nie trujący,"Iglasty
"
Cortinarius thiersii,Zasłonak Thiersa,Grzyb o brązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius torvus,Zasłonak brudny,Grzyb o brązowym kapeluszu z resztkami osłony na brzegu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius traganus,Zasłonak kozi,Grzyb o fioletowawym kapeluszu o zapachu przypominającym kozła. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cortinarius triumphans,Zasłonak triumfujący,Grzyb o żółtawym kapeluszu z brązowymi łuskami. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Liściasty
"
Cortinarius trivialis,Zasłonak pospolity,"Grzyb o brązowym, śluzowatym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią",Niejadalny,Nie trujący,"Liściasty
"
Cortinarius vanduzerensis,Zasłonak Van Duzera,Grzyb o brązowym kapeluszu. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cortinarius variicolor,Zasłonak różnobarwny,Grzyb o kapeluszu zmieniającym kolor od fioletowego do brązowego. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius vellingae,Zasłonak Vellinga,Grzyb o brązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius vernus,Zasłonak wiosenny,Grzyb o brązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się wiosną,Niejadalny,Nie trujący,"Liściasty
"
Cortinarius vibratilis,Zasłonak gorzki,Grzyb o żółtawym kapeluszu o gorzkim smaku. Rośnie w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cortinarius violaceus,Zasłonak fioletowy,Grzyb o intensywnie fioletowym kapeluszu i trzonie. Rośnie w lasach liściastych i iglastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Mieszany
"
Craterellus calicornucopioides,Lejkowiec koralowy,"Grzyb o lejkowatym, koralowoczerwonym owocniku. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Liściasty
"
Craterellus fallax,Lejkowiec zwodniczy,"Grzyb o lejkowatym, szarobrązowym owocniku. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Liściasty
"
Craterellus ignicolor,Lejkowiec ognisty,"Grzyb o lejkowatym, pomarańczowoczerwonym owocniku. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Liściasty
"
Craterellus lutescens,Lejkowiec żółtawy,"Grzyb o lejkowatym, żółtawym owocniku. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Iglasty
"
Craterellus tubaeformis,Lejkowiec dęty,"Grzyb o lejkowatym, szarobrązowym owocniku. Rośnie w lasach iglastych i liściastych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Mieszany
"
Crepidotus crocophyllus,Ciżmówka żółtoblaszkowa,"Grzyb o małym, białawym kapeluszu i żółtych blaszkach. Rośnie na martwym drewnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Crinipellis,Włośnianka,Rodzaj grzybów o małych owocnikach pokrytych włoskami. Rosną na martwych resztkach roślinnych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Mieszany
"
Crinipellis zonata,Włośnianka strefowana,"Grzyb o małym, brązowym kapeluszu z koncentrycznymi strefami. Rośnie na martwych resztkach roślinnych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Crucibulum laeve,Kubecznik pospolity,"Grzyb o małym, kubeczkowatym owocniku zawierającym peridiole. Rośnie na martwym drewnie i resztkach roślinnych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Mieszany
"
Cryptoporus volvatus,Jamczatka otoczkowa,Grzyb o konsolowatym owocniku z charakterystyczną otoczką. Rośnie na martwym drewnie drzew iglastych. Owocniki pojawiają się przez cały rok,Niejadalny,Nie trujący,"Iglasty
"
Cudonia circinans,Hełmik okrągławy,"Grzyb o główkowatym, żółtawym owocniku na smukłym trzonie. Rośnie na ziemi w lasach iglastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Iglasty
"
Cudoniella clavus,Pałecznica główkowata,"Grzyb o małym, białawym, główkowatym owocniku na smukłym trzonie. Rośnie na martwych gałązkach w wilgotnych lasach. Owocniki pojawiają się wiosną i latem",Niejadalny,Nie trujący,"Mieszany
"
Cuphophyllus,Kopułek,Rodzaj grzybów o woskowatych owocnikach. Rosną na ziemi w lasach i na łąkach. Owocniki pojawiają się latem i jesienią,"Niektóre jadalne, inne niejadalne",Nie trujący,"Mieszany
"
Cuphophyllus angustifolius,Kopułek wąskoblaszkowy,Grzyb o białawym kapeluszu i wąskich blaszkach. Rośnie na łąkach. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cuphophyllus pratensis,Kopułek łąkowy,Grzyb o pomarańczowym kapeluszu. Rośnie na łąkach. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Cuphophyllus russocoriaceus,Kopułek rdzawoskórzasty,Grzyb o rdzawym kapeluszu o skórzastej konsystencji. Rośnie na łąkach. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cuphophyllus subviolaceus,Kopułek fioletowawopłowy,Grzyb o fioletowawym kapeluszu. Rośnie na łąkach. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cuphophyllus virgineus,Kopułek białawy,Grzyb o białym kapeluszu. Rośnie na łąkach. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Cyanoboletus pulverulentus,Modrzewiak goryczkowaty,"Grzyb o brązowym kapeluszu i porach, które sinieją po dotknięciu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Cyathus striatus,Kubecznik prążkowany,"Grzyb o małym, kubeczkowatym owocniku z prążkowaną powierzchnią. Rośnie na martwym drewnie i resztkach roślinnych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Mieszany
"
Cyclocybe cylindracea,Pieczarka okazała,"Grzyb o dużym, białawym kapeluszu. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się od wiosny do jesieni",Jadalny,Nie trujący,"Liściasty
"
Cyclocybe erebia,Pieczarka ciemna,Grzyb o ciemnobrązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cymatoderma caperatum,Żylak pomarszczony,"Grzyb o wachlarzowatym, pomarszczonym owocniku. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Cyptotrama asprata,Łuskowiec żółty,Grzyb o żółtym kapeluszu pokrytym łuskami. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cyptotrama chrysopepla,Łuskowiec złocisty,Grzyb o złocistym kapeluszu pokrytym łuskami. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Cystoderma aureum,Ziarnówka złota,Grzyb o złocistym kapeluszu pokrytym ziarnistymi łuskami. Rośnie na ziemi w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cystoderma fallax,Ziarnówka zwodnicza,Grzyb o brązowym kapeluszu pokrytym ziarnistymi łuskami. Rośnie na ziemi w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cystodermella cinnabarina,Ziarnóweczka cynobrowa,Grzyb o cynobrowym kapeluszu pokrytym ziarnistymi łuskami. Rośnie na ziemi w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cystodermella granulosa,Ziarnóweczka gruzełkowata,Grzyb o brązowym kapeluszu pokrytym ziarnistymi łuskami. Rośnie na ziemi w lasach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Cystolepiota,Czubajeczka,Rodzaj grzybów o delikatnych owocnikach pokrytych łuskami lub ziarnistościami. Rosną na ziemi w lasach. Owocniki pojawiają się latem i jesienią,Niejadalny,Niektóre trujące,"Mieszany
"
Daedalea quercina,Gmatwek dębowy,Grzyb o konsolowatym owocniku z labiryntowatymi porami. Rośnie na martwym drewnie dębów. Owocniki pojawiają się przez cały rok,Niejadalny,Nie trujący,"Liściasty
"
Deconica,Łysiczka,"Rodzaj małych grzybów o brązowych kapeluszach. Rosną na ziemi, odchodach lub resztkach roślinnych. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Niektóre halucynogenne,"Mieszany
"
Deconica coprophila,Łysiczka nawozowa,"Grzyb o małym, brązowym kapeluszu. Rośnie na odchodach zwierząt. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Halucynogenny,"Mieszany
"
Deconica horizontalis,Łysiczka pozioma,"Grzyb o małym, brązowym kapeluszu rosnący poziomo. Rośnie na martwym drewnie. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Nie trujący,"Liściasty
"
Desarmillaria tabescens,Opieńka bezpierścieniowa,Grzyb o miodowożółtym kapeluszu bez pierścienia na trzonie. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Liściasty
"
Echinoderma asperum,Czubajnik szorstki,"Grzyb o białawym kapeluszu pokrytym brązowymi, ostrymi łuskami. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Entoloma,Dzwonkówka,Rodzaj grzybów o różnokolorowych kapeluszach i różowych zarodnikach. Rosną na ziemi w lasach i na łąkach. Owocniki pojawiają się od wiosny do jesieni,"Niektóre jadalne, inne trujące",Niektóre trujące,"Mieszany
"
Entoloma abortivum,Dzwonkówka niedorozwinięta,"Grzyb o szarym, zniekształconym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się jesienią",Jadalny,Nie trujący,"Liściasty
"
Entoloma conicum,Dzwonkówka stożkowata,"Grzyb o stożkowatym, brązowym kapeluszu. Rośnie na łąkach. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Entoloma ferruginans,Dzwonkówka rdzewiejąca,"Grzyb o brązowym kapeluszu, który rdzawieje po uszkodzeniu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się jesienią",Niejadalny,Nie trujący,"Liściasty
"
Entoloma formosum,Dzwonkówka piękna,Grzyb o różowawym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma hirtipes,Dzwonkówka włosistonoga,Grzyb o brązowym kapeluszu i włosistym trzonie. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma incanum,Dzwonkówka zielonawoniebieskawa,Grzyb o zielonawoniebieskim kapeluszu. Rośnie na łąkach. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma indigoferum,Dzwonkówka indygowa,Grzyb o niebieskim kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma luridum,Dzwonkówka brudna,Grzyb o brązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma medianox,Dzwonkówka północna,Grzyb o ciemnobrązowym kapeluszu. Rośnie na ziemi w lasach iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Iglasty
"
Entoloma murrayi,Dzwonkówka Murraya,Grzyb o brązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma quadratum,Dzwonkówka kwadratowa,Grzyb o kwadratowym w przekroju trzonie. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma salmoneum,Dzwonkówka łososiowa,Grzyb o łososioworóżowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma sericellum,Dzwonkówka jedwabista,"Grzyb o białawym, jedwabistym kapeluszu. Rośnie na łąkach. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Entoloma sericeum,Dzwonkówka jedwabista,"Grzyb o brązowym, jedwabistym kapeluszu. Rośnie na łąkach. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Entoloma serrulatum,Dzwonkówka piłkowana,Grzyb o brązowym kapeluszu z piłkowanym brzegiem. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma sinuatum,Dzwonkówka trująca,"Grzyb o dużym, szarobrązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Entoloma strictius,Dzwonkówka wyprostowana,"Grzyb o brązowym, stożkowatym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Entoloma subsaundersii,Dzwonkówka Saundersa,Grzyb o brązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma subserrulatum,Dzwonkówka drobnopiłkowana,Grzyb o brązowym kapeluszu z drobno piłkowanym brzegiem. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma subsinuatum,Dzwonkówka podwinięta,Grzyb o brązowym kapeluszu z podwiniętym brzegiem. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Entoloma undatum,Dzwonkówka falista,Grzyb o brązowym kapeluszu z falistym brzegiem. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma vernum,Dzwonkówka wiosenna,Grzyb o brązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się wiosną,Niejadalny,Nie trujący,"Liściasty
"
Entoloma violaceum,Dzwonkówka fioletowa,Grzyb o fioletowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Entoloma virescens,Dzwonkówka zielonawa,Grzyb o zielonawym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Favolaschia,Siatkowiec,Rodzaj małych grzybów o siateczkowatej strukturze na spodzie kapelusza. Rosną na martwym drewnie w tropikalnych lasach. Owocniki pojawiają się przez cały rok,Niejadalny,Nie trujący,"Liściasty
"
Favolus brasiliensis,Siatkowiec brazylijski,"Grzyb o wachlarzowatym, białawym owocniku z siateczkowatą strukturą na spodzie. Rośnie na martwym drewnie w tropikalnych lasach. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Flammulaster erinaceellus,Płomienniczek jeżowaty,"Grzyb o małym, brązowym kapeluszu pokrytym sterczącymi łuskami. Rośnie na martwym drewnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Flammula alnicola,Łuskwiak olszowy,Grzyb o żółtym kapeluszu pokrytym brązowymi łuskami. Rośnie na martwym drewnie olch. Owocniki pojawiają się od lata do jesieni,Niejadalny,Nie trujący,"Liściasty
"
Fomitopsis betulina,Pniarek brzozowy,"Grzyb o konsolowatym, białawym owocniku. Rośnie na martwym drewnie brzóz. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Fomitopsis mounceae,Pniarek Mounce,"Grzyb o konsolowatym, brązowawym owocniku. Rośnie na martwym drewnie drzew iglastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Iglasty
"
Fomitopsis pinicola,Pniarek obrzeżony,"Grzyb o konsolowatym, brązowawym owocniku z jasnym obrzeżem. Rośnie na martwym drewnie drzew iglastych i liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Mieszany
"
Fuscoporia gilva,Murszak rdzawy,"Grzyb o konsolowatym, rdzawobrązowym owocniku. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Galerina,Hełmówka,Rodzaj małych grzybów o brązowych kapeluszach. Rosną na ziemi i martwym drewnie. Owocniki pojawiają się od wiosny do jesieni,Niejadalny,Niektóre śmiertelnie trujące,"Mieszany
"
Galerina clavata,Hełmówka maczugowata,"Grzyb o małym, brązowym kapeluszu i maczugowatym trzonie. Rośnie na mchach. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Trujący,"Mieszany
"
Galerina marginata,Hełmówka jadowita,"Grzyb o małym, brązowym kapeluszu. Rośnie na martwym drewnie. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Śmiertelnie trujący,"Mieszany
"
Galiella rufa,Kielisznik rdzawy,"Grzyb o kieliszkowatym, rdzawym owocniku. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Ganoderma,Lakownica,"Rodzaj grzybów o twardych, lakierowanych owocnikach. Rosną na żywych i martwych drzewach. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Mieszany
"
Ganoderma curtisii,Lakownica Curtisa,"Grzyb o konsolowatym, czerwonobrązowym, lakierowanym owocniku. Rośnie na drzewach liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
